area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,19-Dec,SRO Layout,2 BHK,Coomee,1056,2,1,39.07
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Theanmp,2600,5,3,
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,,,2,3,62
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1521,3,1,95
Super built-up  Area,Ready To Move,Kothanur,2 BHK,,120,2,1,
Super built-up  Area,Ready To Move,Whitefield,2 BHK,DuenaTa,1170,2,1,38
Super built-up  Area,18-May,Old Airport Road,4 BHK,Jaades,,4,,204
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,Brway G,3300,4,,600
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,,1310,3,1,63.25
Plot  Area,Ready To Move,Gandhi Bazar,6 Bedroom,,1020,6,,
Super built-up  Area,18-Feb,Whitefield,3 BHK,,1800,2,2,70
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Prrry M,2785,5,3,295
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Shncyes,,2,1,38
Built-up  Area,Ready To Move,Gottigere,2 BHK,,1100,2,2,40
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Skityer,2250,3,2,148
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,1175,2,2,73.5
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1180,3,2,48
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1540,3,3,60
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,PeBayle,2770,4,2,290
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,,1100,2,2,
Built-up  Area,Ready To Move,Kengeri,1 BHK,,600,1,1,15
Super built-up  Area,19-Dec,Binny Pete,3 BHK,She 2rk,1755,3,1,122
Plot  Area,Ready To Move,Thanisandra,4 Bedroom,Soitya,,5,2,380
Super built-up  Area,Ready To Move,Bellandur,3 BHK,,,3,1,103
Super built-up  Area,18-Nov,Thanisandra,1 RK,Bhe 2ko,510,1,0,25.25
Super built-up  Area,18-May,Mangammanapalya,3 BHK,,1250,3,2,56
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa,660,1,1,23.1
Built-up  Area,20-Dec,Whitefield,3 BHK,,1610,3,2,81
Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,ViistLa,1151,2,2,48.77
Super built-up  Area,Ready To Move,Electronic City,3 BHK,KBityo,1025,2,1,47
Super built-up  Area,19-Dec,Yelahanka,4 BHK,LedorSa,2850,4,0,186
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2,1,35
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Mahosya,1760,2,2,123
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1693,3,3,57.39
Built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,Kantsce,1925,3,,125
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700,2,1,36
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,,1070,2,1,45.5
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,Dieldli,1724,3,2,125
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,,1290,2,2,56.12
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1143,2,2,45
Built-up  Area,Ready To Move,Murugeshpalya,2 BHK,Gentson,,2,,81
Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,Soini T,1254,3,2,38
Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,Ceove G,600,1,0,38
Plot  Area,Ready To Move,Yelahanka,1 Bedroom,,660,1,0,48
Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,Soazak,1330.74,2,2,
Plot  Area,Ready To Move,HSR Layout,8 Bedroom,,600,9,,200
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,LancyRe,970,2,0,33
Super built-up  Area,20-Sep,Whitefield,2 BHK,Goted U,1459,2,1,94.82
Plot  Area,Ready To Move,KR Puram,2 Bedroom,,,1,1,130
Built-up  Area,Ready To Move,Himagiri Meadows,2 BHK,,869,2,1,
Super built-up  Area,Ready To Move,Adarsh Nagar,2 BHK,Bhncyis,1270,2,1,50
Super built-up  Area,18-Mar,Bhoganhalli,3 BHK,Rosha I,1670,3,1,99
Built-up  Area,Ready To Move,Whitefield,3 BHK,Suent V,2010,3,2,91
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1185,2,2,75
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,NCowsar,1600,2,3,75
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh,1200,2,2,44
Built-up  Area,20-Feb,Devanahalli,4 Bedroom,BrereAt,,,,192
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2 BHK,PeBayle,1500,2,2,185
Plot  Area,Ready To Move,Murugeshpalya,6 Bedroom,,1407,4,1,150
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2 BHK,,840,2,2,45
Plot  Area,Ready To Move,Tharabanahalli,3 Bedroom,,,3,2,240
Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,Laavevi,845,2,1,55
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Chranya,5700,5,3,
Built-up  Area,Ready To Move,Varthur,2 BHK,HioraTr,1160,2,2,44
Built-up  Area,Ready To Move,Bommanahalli,8 Bedroom,,3000,8,0,140
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,,1100,2,1,62
Super built-up  Area,18-Apr,Gunjur,2 BHK,BMineis,1140,2,3,43
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1220,2,1,57
Plot  Area,Ready To Move,Devarachikkanahalli,8 Bedroom,,,7,0,
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,,1005,2,1,36.68
Plot  Area,Ready To Move,Double Road,3 Bedroom,,500,3,2,100
Super built-up  Area,20-Aug,Begur Road,2 BHK,Pruthg,1358,2,1,80.58
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Sonosty,1569,3,1,
Super built-up  Area,18-Apr,Haralur Road,2 BHK,SNnia E,1240,2,1,70
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Anavi B,2089,3,2,140
Super built-up  Area,Ready To Move,Kothannur,2 BHK,,1206,2,1,48.23
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,,1150,2,3,40
Built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,Viony H,2511,3,3,205
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,,460,1,0,22
Built-up  Area,Ready To Move,ISRO Layout,6 Bedroom,,4400,6,3,250
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3 BHK,AdentEl,1660,2,2,105
Built-up  Area,18-Oct,Hennur Road,4 Bedroom,Gollela,3450,,,224.5
Super built-up  Area,19-Mar,Yelahanka,2 BHK,Niareum,1326,2,2,78
Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,,1325,2,2,60.8
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,SJlynro,1499,5,2,102
Built-up  Area,Ready To Move,Hegde Nagar,6 Bedroom,,3000,7,2,210
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,,1665,3,2,88
Super built-up  Area,17-Sep,Dasanapura,2 BHK,Tavenew,708,2,2,37
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Srire S,,2,2,58.06
Plot  Area,Ready To Move,Rajaji Nagar,6 Bedroom,,710,6,3,160
Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,Saenti,1000,2,2,70
Super built-up  Area,18-Dec,Electronic City,2 BHK,,1000,2,1,28.88
Super built-up  Area,Ready To Move,Mysore Highway,3 BHK,,1450,2,2,70
Plot  Area,Ready To Move,ISRO Layout,4 Bedroom,,1200,4,2,155
Super built-up  Area,17-Aug,Thanisandra,2 BHK,Bhmesy,1296,2,3,80
Super built-up  Area,Ready To Move,Domlur,3 BHK,,,3,2,90
Plot  Area,Ready To Move,Kengeri,4 Bedroom,Goardth,2894,4,1,245
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,,1330,2,1,
Built-up  Area,Ready To Move,Devasthanagalu,2 BHK,,1200,2,1,65
Built-up  Area,Ready To Move,T Dasarahalli,3 Bedroom,,1200,3,1,90
